"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source"
"uBsBOTGBwBg","beauty",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"uBsBOTGBwBg","contouring",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"uBsBOTGBwBg","guide",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"uBsBOTGBwBg","jordyn",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"uBsBOTGBwBg","secrets",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"uBsBOTGBwBg","step",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"uBsBOTGBwBg","vogue",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"uBsBOTGBwBg","woods’s",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
"vCJ6U7mQmYw","beauty",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","brows",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","confidence",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","guide",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","jenner's",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","kylie",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","lips",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","secrets",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"vCJ6U7mQmYw","vogue",1,1,1,2018-06-27,"Kylie Jenner's Guide to Lips, Brows, Confidence | Beauty Secrets | Vogue",8911970,383794,18549,29814,"Vogue"
"VICWIhLUbU4","5",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
"VICWIhLUbU4","adut",1,1,1,2018-04-12,"Model Adut Akech's 5-Minute Bedtime Routine for Glowing Skin | Beauty Secrets | Vogue",421856,15261,164,779,"Vogue"
