"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source","totalSource","freqSource"
"Yg5cPR-k3OQ","2016",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","de",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","fall",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","fashion",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","la",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","oscar",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","ready",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","renta",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","wear",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","week",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"Yg5cPR-k3OQ","york",1,1,1,2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week",16999,659,4,22,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","2016",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","eating",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","gala",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","kanye",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","kardashian",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","kim",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","met",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","reindeer",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"yh53j7SLK1U","west",1,1,1,2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016",638819,4138,725,475,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","branded",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","content",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","courtesy",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","director",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","journey",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","outdoors",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","pack",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"ztlqPymE-3E","vogue’s",1,1,1,2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director",40075,1475,22,21,"Vogue",2423,0.000412711514651259
"zTu3VkuORUQ","1s",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
"zTu3VkuORUQ","air",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
"zTu3VkuORUQ","choices",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
"zTu3VkuORUQ","force",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
"zTu3VkuORUQ","superstars",1,1,1,2016-09-21,"Teyana Taylor on Air Force 1s vs. Superstars and Other Tough Choices | Would You Rather",22958,323,28,19,"Vogue",2423,0.000412711514651259
